代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11026036.1400000006
真實報酬,1026036.1400000006
趨勢值,0.1863896246

選擇檔數,3
找到最佳解世代,1666
找到最佳解實驗,1
Stock#,AAPL,BA,CVX,
分配資金,3333333,3333333,3333333,
張數,31231,25660,33263,
剩餘資金,48.3699999999,98.9999999999,47.7700000002,
FS(46),3399230.4099999997,3580695.3999999999,3485344.9100000001,10465271.7200000007,
FS(47),3448263.0799999996,3670248.7999999998,3554199.3199999998,10672712.1999999993,
FS(48),3468563.2299999995,3648950.9999999995,3568835.0400000000,10686350.2699999996,
FS(49),3462941.6499999994,3723108.3999999999,3580477.0899999999,10766528.1400000006,
FS(50),3366437.8599999999,3789824.3999999999,3585466.5400000000,10741729.8000000007,
FS(51),3386425.6999999997,3811122.2000000002,3547214.0899999999,10744762.9900000002,
FS(52),3301477.3799999994,3848842.4000000004,3545550.9399999999,10695871.7200000007,
FS(53),3345200.7799999998,3800601.6000000006,3624384.2500000000,10770187.6300000008,
FS(54),3435146.0599999996,3757749.3999999999,3604093.8199999998,10796990.2799999993,
FS(55),3433896.8199999998,3729266.8000000003,3596443.3300000001,10759607.9500000011,
FS(56),3437332.2299999995,3755440.0000000000,3632367.3700000001,10825140.5999999996,
FS(57),3489488.0000000000,3772632.2000000002,3664965.1100000003,10927086.3100000024,
FS(58),3491674.1699999995,3836782.2000000002,3679600.8300000001,11008058.2000000011,
FS(59),3473872.5000000000,3842427.4000000004,3692240.7700000000,11008541.6700000018,
FS(60),3491361.8599999999,3850125.3999999999,3692240.7700000000,11033729.0300000012,
FS(61),3484491.0399999996,3843197.2000000002,3675609.2700000000,11003298.5100000016,
FS(62),3481055.6299999994,3891181.3999999994,3637024.1899999999,11009262.2200000007,
FS(63),3451698.4899999993,3863468.6000000001,3710868.0500000003,11026036.1400000006,
