代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10692294.1899999995
真實報酬,692294.1899999995
趨勢值,0.2385534832

選擇檔數,4
找到最佳解世代,2193
找到最佳解實驗,1
Stock#,AAPL,DIS,KO,MSFT,
分配資金,2500000,2500000,2500000,2500000,
張數,19417,22461,60591,39320,
剩餘資金,61.2500000000,90.7000000001,15.3400000001,34.4000000001,
FS(28),2702907.6499999999,2504941.4199999999,2546655.0700000003,2544431.5999999996,10298935.7400000002,
FS(29),2698830.0800000001,2522685.6100000003,2543019.6100000003,2532635.5999999996,10297170.8999999985,
FS(30),2727373.0700000003,2512802.7700000005,2552108.2600000002,2546004.3999999999,10338288.5000000000,
FS(31),2731838.9800000000,2509209.0100000002,2559985.0900000003,2541679.1999999997,10342712.2799999993,
FS(32),2718247.0800000001,2510332.0600000005,2546655.0700000003,2550722.8000000003,10325957.0099999998,
FS(33),2746790.0700000003,2531670.0100000002,2555743.7200000002,2553082.0000000000,10387285.7999999989,
FS(34),2715334.5300000003,2510107.4500000002,2575132.8400000003,2524771.5999999996,10325346.4199999999,
FS(35),2746013.3899999997,2517519.5800000001,2567861.9200000004,2557014.0000000000,10388408.8899999987,
FS(36),2736304.8899999997,2521113.3399999999,2555137.8100000005,2550722.8000000003,10363278.8399999980,
FS(37),2730868.1299999999,2518867.2400000002,2552108.2600000002,2555048.0000000000,10356891.6299999990,
FS(38),2735528.2100000000,2524257.8799999999,2564226.4600000004,2559766.3999999999,10383778.9499999993,
FS(39),2792225.8500000001,2539306.7500000000,2570891.4700000002,2567237.2000000002,10469661.2699999996,
FS(40),2798439.2900000000,2527627.0300000003,2570285.5600000005,2574314.7999999998,10470666.6799999997,
FS(41),2794750.0600000001,2542226.6800000002,2581191.9400000004,2583751.5999999996,10501920.2799999993,
FS(42),2789507.4699999997,2546943.4900000002,2571497.3800000004,2589649.6000000001,10497597.9399999995,
FS(43),2790284.1499999999,2542675.9000000004,2569679.6499999999,2577460.3999999999,10480100.0999999978,
FS(44),2811060.3400000003,2539082.1400000001,2586039.2200000002,2584538.0000000000,10520719.6999999993,
FS(45),2796497.5900000003,2538183.7000000002,2579374.2100000004,2577853.6000000001,10491909.0999999996,
FS(46),2789507.4699999997,2539306.7500000000,2585433.3100000005,2584538.0000000000,10498785.5299999993,
FS(47),2783294.0300000003,2528750.0800000001,2581797.8500000001,2582572.0000000000,10476413.9599999990,
FS(48),2779993.1399999997,2525380.9300000002,2586645.1300000004,2576674.0000000000,10468693.1999999993,
FS(49),2750090.9600000000,2539755.9700000002,2584827.3999999999,2574708.0000000000,10449382.3299999982,
FS(50),2753391.8500000001,2539082.1400000001,2601792.8800000004,2564878.0000000000,10459144.8699999992,
FS(51),2738829.1000000001,2542675.9000000004,2592704.2300000004,2553868.3999999999,10428077.6299999990,
FS(52),2753974.3600000003,2555703.2800000003,2609669.7100000004,2574708.0000000000,10494055.3499999996,
FS(53),2741741.6499999999,2564912.2900000000,2634512.0200000000,2571169.1999999997,10512335.1600000001,
FS(54),2731644.8100000001,2554580.2300000004,2619364.2700000000,2557407.2000000002,10462996.5099999998,
FS(55),2765818.7300000000,2578388.8900000001,2610881.5300000007,2575494.3999999999,10530583.5499999989,
FS(56),2762517.8400000003,2570527.5400000000,2609669.7100000004,2610882.3999999999,10553597.4900000002,
FS(57),2789119.1299999999,2553906.4000000004,2622393.8200000003,2655314.0000000000,10620733.3499999996,
FS(58),2806400.2600000002,2587148.6800000002,2612093.3500000001,2670648.7999999998,10676291.0899999999,
FS(59),2789895.8100000001,2596133.0800000001,2619970.1800000006,2667110.0000000000,10673109.0700000003,
FS(60),2792031.6799999997,2601972.9400000004,2606034.2500000000,2684410.7999999998,10684449.6699999999,
FS(61),2789313.3000000003,2596582.3000000003,2614516.9900000002,2691881.5999999996,10692294.1899999995,
