代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11110066.9499999993
真實報酬,1110066.9499999993
趨勢值,0.1597242534

選擇檔數,4
找到最佳解世代,2562
找到最佳解實驗,1
Stock#,BA,MRK,UTX,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,18883,41308,22791,36889,
剩餘資金,79.6300000003,39.8399999999,55.2100000001,32.4700000001,
FS(20),2498111.7000000002,2384750.6799999997,2663411.4699999997,2832738.7800000003,10379012.6300000008,
FS(21),2489425.5200000005,2381446.0399999996,2648369.4100000001,2805440.9199999999,10324681.8900000006,
FS(22),2454491.9700000002,2345921.1599999997,2621020.2100000000,2810974.2700000005,10232407.6100000013,
FS(23),2453925.4800000000,2362444.3599999999,2621931.8500000001,2803596.4700000002,10241898.1600000001,
FS(24),2436930.7800000007,2397556.1599999997,2578173.1299999999,2748262.9700000002,10160923.0400000010,
FS(25),2408228.6200000006,2491738.3999999999,2541707.5299999998,2755271.8800000004,10196946.4299999997,
FS(26),2445616.9600000000,2545025.7199999997,2569284.6400000001,2825729.8700000001,10385657.1899999995,
FS(27),2488859.0300000007,2596247.6400000001,2613043.3599999999,2860774.4199999999,10558924.4500000011,
FS(28),2483949.4500000002,2584268.3199999998,2598685.0299999998,2791423.1000000001,10458325.9000000004,
FS(29),2471297.8400000003,2573528.2399999998,2608485.1600000001,2792529.7700000005,10445841.0099999998,
FS(30),2476962.7400000002,2568984.3599999999,2605978.1499999999,2776298.6100000003,10428223.8600000013,
FS(31),2462045.1700000004,2587572.9600000000,2587289.5299999998,2766338.5800000001,10403246.2400000002,
FS(32),2457513.2500000000,2556178.8799999999,2587289.5299999998,2758591.8900000001,10359573.5500000007,
FS(33),2469598.3700000006,2603683.0800000001,2647229.8599999999,2804703.1400000001,10525214.4500000011,
FS(34),2477906.8900000001,2586333.7199999997,2678681.4399999999,2805440.9199999999,10548362.9700000007,
FS(35),2500377.6600000001,2567745.1199999996,2712867.9399999999,2788471.9800000004,10569462.7000000011,
FS(36),2561369.7500000000,2585507.5600000001,2745231.1600000001,2804334.2500000000,10696442.7200000007,
FS(37),2542109.0900000003,2581376.7599999998,2734519.3900000001,2788471.9800000004,10646477.2200000007,
FS(38),2531723.4400000004,2595008.3999999999,2706486.4600000000,2797694.2300000004,10630912.5300000012,
FS(39),2501699.4700000002,2584268.3199999998,2715830.7700000000,2764125.2400000007,10565923.8000000007,
FS(40),2636901.7500000000,2538416.4399999999,2664778.9300000002,2721334.0000000000,10561431.1199999992,
FS(41),2790609.3700000006,2564853.5600000001,2654067.1600000001,2750845.1999999997,10760375.2900000010,
FS(42),2745101.3400000003,2490086.0800000001,2616006.1899999999,2720596.2200000002,10571789.8300000001,
FS(43),2761907.2100000000,2514870.8799999999,2657029.9899999998,2762649.6800000002,10696457.7600000016,
FS(44),2782300.8500000006,2520654.0000000000,2709677.2000000002,2758960.7800000003,10771592.8300000001,
FS(45),2780034.8900000001,2439277.2399999998,2684607.1000000001,2754534.1000000001,10658453.3300000001,
FS(46),2806093.4300000002,2444234.1999999997,2737482.2199999997,2758960.7800000003,10746770.6300000008,
FS(47),2794763.6300000004,2428537.1599999997,2730644.9199999999,2809129.8200000003,10763075.5300000012,
FS(48),2786832.7700000005,2409535.4800000000,2719477.3299999996,2818352.0700000003,10734197.6500000004,
FS(49),2795518.9500000002,2431015.6400000001,2721300.6099999999,2829049.8800000004,10776885.0800000001,
FS(50),2793252.9900000002,2426471.7599999998,2705119.0000000000,2933814.6400000001,10858658.3900000006,
FS(51),2796463.1000000006,2432254.8799999999,2725630.8999999999,2949676.9100000001,10904025.7900000010,
FS(52),2827431.2200000002,2429363.3199999998,2763463.9600000000,2904303.4400000004,10924561.9400000013,
FS(53),2831018.9900000002,2428537.1599999997,2765059.3299999996,2877374.4700000002,10901989.9500000011,
FS(54),2854622.7400000002,2428950.2399999998,2780329.2999999998,2869627.7800000003,10933530.0600000005,
FS(55),2903340.8800000004,2408296.2399999998,2801297.0200000000,2844174.3700000001,10957108.5099999998,
FS(56),2989447.3600000003,2410361.6400000001,2828646.2199999997,2845281.0400000000,11073736.2599999998,
FS(57),2922035.0500000007,2408296.2399999998,2819757.7300000000,2899138.9800000004,11049228.0000000000,
FS(58),2915237.1700000004,2410774.7199999997,2821353.1000000001,2965539.1800000002,11112904.1700000018,
FS(59),2889367.4600000000,2416144.7599999998,2811780.8799999999,2951521.3600000003,11068814.4600000009,
FS(60),2865197.2200000002,2435559.5200000000,2795827.1800000002,3012019.3200000003,11108603.2400000002,
FS(61),2848580.1800000002,2418210.1599999997,2778506.0200000000,3064770.5900000003,11110066.9499999993,
