代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11981368.8200000003
真實報酬,1981368.8200000003
趨勢值,0.3683080412

選擇檔數,3
找到最佳解世代,2143
找到最佳解實驗,1
Stock#,MSFT,V,VZ,
分配資金,3333333,3333333,3333333,
張數,133976,192901,118793,
剩餘資金,10.1200000001,3.7199999998,1.4200000002,
FS(27),3821005.6400000001,3842591.6400000001,3283439.9399999999,10947038.2200000007,
FS(28),3883974.3599999999,3913965.0099999998,3351151.9500000002,11149092.3199999984,
FS(29),3886653.8800000004,3910106.9899999998,3366595.0400000000,11163356.9100000001,
FS(30),3901391.2400000002,3896603.9199999995,3371346.7599999998,11169342.9199999999,
FS(31),3933545.4800000000,3854165.6999999997,3349964.0200000000,11137676.1999999993,
FS(32),3969719.0000000000,3858023.7199999997,3346400.2300000000,11174143.9499999993,
FS(33),3957661.1600000001,3836804.6099999999,3368970.8999999999,11163437.6699999999,
FS(34),4019290.1200000001,3885029.8599999999,3404608.7999999998,11308929.7799999993,
FS(35),4034027.4800000000,3877313.8199999998,3405796.7300000000,11317139.0299999993,
FS(36),3989815.4000000004,3867668.7700000000,3389165.7100000000,11246650.8800000008,
FS(37),3968379.2400000002,3858023.7199999997,3379662.2700000000,11206066.2300000004,
FS(38),4011251.5600000001,3879242.8299999996,3479448.3899999997,11369943.7799999993,
FS(39),4007232.2800000003,3888887.8799999999,3540032.8199999998,11436153.9800000004,
FS(40),3991155.1600000001,3944829.1699999995,3557851.7700000000,11493837.0999999996,
FS(41),3914788.8399999999,3873455.7999999993,3512710.4300000002,11300956.0700000003,
FS(42),3940244.2800000003,3906248.9699999997,3493703.5499999998,11340197.8000000007,
FS(43),4020629.8800000004,4000770.4599999995,3592301.7399999998,11613703.0800000001,
FS(44),3989815.4000000004,3966048.2799999993,3626751.7100000000,11582616.3900000006,
FS(45),3996514.1999999997,3859952.7300000000,3630315.5000000000,11486783.4299999997,
FS(46),4016610.6000000001,3871526.7899999996,3631503.4300000002,11519641.8200000003,
FS(47),3991155.1600000001,3854165.6999999997,3693275.7900000000,11538597.6500000004,
FS(48),3961680.4399999999,3858023.7199999997,3708718.8799999999,11528424.0399999991,
FS(49),3980437.0800000001,3942900.1600000001,3698027.5099999998,11621365.7500000000,
FS(50),4001873.2400000002,3969906.2999999993,3738417.1299999999,11710197.6699999999,
FS(51),3999193.7200000002,3923610.0599999996,3746732.6399999997,11669537.4199999999,
FS(52),4034027.4800000000,4087575.9100000001,3726537.8300000001,11848142.2199999988,
FS(53),4021969.6400000001,4155091.2599999998,3665953.3999999999,11843015.2999999989,
FS(54),4032687.7200000002,4197529.4800000004,3632691.3599999999,11862909.5600000005,
FS(55),3965699.7200000002,4197529.4800000004,3644570.6599999997,11807800.8599999994,
FS(56),4067521.4800000000,4290121.9599999990,3643382.7300000000,12001027.1699999999,
FS(57),4088957.6400000001,4220677.5999999996,3667141.3300000001,11976777.5699999984,
FS(58),4129150.4399999999,4162807.2999999993,3687336.1399999997,11979294.8799999990,
FS(59),4142548.0400000005,4155091.2599999998,3690899.9300000002,11988540.2300000004,
FS(60),4153266.1200000001,4160878.2899999996,3705155.0899999999,12019300.5000000000,
FS(61),4176042.0400000005,4184026.4100000001,3719410.2500000000,12079479.6999999993,
FS(62),4205516.7599999998,4245754.7300000004,3712282.6699999999,12163555.1600000001,
FS(63),4147907.0800000001,4251541.7599999998,3712282.6699999999,12111732.5099999998,
FS(64),4083598.6000000001,4218748.5899999999,3679020.6299999999,11981368.8200000003,
