初始資金,10000000.0000000000
最後資金,13145704.1300000008
真實報酬,3145704.1300000008

二次趨勢線,-3.2420444755x^2 + 12372.2623771237x + 10000000.0000000000
加權每日預期報酬,11285.0967963332
風險,294786.7332411899
二次趨勢值,0.0382822411

平均每日預期報酬,46.0369209932
風險,294786.7332411899
二次趨勢值,0.0001561703

一次趨勢線,11760.7341549602x + 10000000.0000000000
每日預期報酬,11760.7341549602
風險,295678.7137861123
一次趨勢值,0.0397753832

投資組合檔數,1
FS(51),10589925.1699999999,
FS(52),10527382.9600000009,
FS(53),10730222.5600000005,
FS(54),10650777.0500000007,
FS(55),10682893.3200000003,
FS(56),10715009.5899999999,
FS(57),10664299.6900000013,
FS(58),10786003.4500000011,
FS(59),10772480.8100000005,
FS(60),10620351.1100000013,
FS(61),10552737.9100000001,
FS(62),10799526.0899999999,
FS(63),10823190.7100000009,
FS(64),11022649.6500000004,
FS(65),10828261.7000000011,
FS(66),10711628.9299999997,
FS(67),10635564.0800000001,
FS(68),10745435.5300000012,
FS(69),10691344.9700000007,
FS(70),10782622.7900000010,
FS(71),10748816.1900000013,
FS(72),10819810.0500000007,
FS(73),10862068.3000000007,
FS(74),10899255.5600000005,
FS(75),10943204.1400000006,
FS(76),10948275.1300000008,
FS(77),10965178.4300000016,
FS(78),11031101.3000000007,
FS(79),10882352.2599999998,
FS(80),10792764.7700000014,
FS(81),10814739.0600000005,
FS(82),10829952.0299999993,
FS(83),10755577.5100000016,
FS(84),10721770.9100000001,
FS(85),10762338.8300000001,
FS(86),11007436.6800000016,
FS(87),11004056.0199999996,
FS(88),10977010.7400000002,
FS(89),11022649.6500000004,
FS(90),11076740.2100000009,
FS(91),11144353.4100000020,
FS(92),11168018.0299999993,
FS(93),11220418.2599999998,
FS(94),11271128.1600000020,
FS(95),11245773.2100000009,
FS(96),11326909.0500000007,
FS(97),11384380.2699999996,
FS(98),11291412.1200000010,
FS(99),11308315.4200000018,
FS(100),11369167.3000000007,
FS(101),11337051.0299999993,
FS(102),11365786.6400000006,
FS(103),11277889.4800000004,
FS(104),11423257.8600000013,
FS(105),11499322.7100000009,
FS(106),11462135.4500000011,
FS(107),11443541.8200000003,
FS(108),11622716.8000000007,
FS(109),11609194.1600000020,
FS(110),11583839.2100000009,
FS(111),11649762.0800000001,
FS(112),11734278.5800000001,
FS(113),11690330.0000000000,
FS(114),11668355.7100000009,
FS(115),11818795.0800000001,
FS(116),11889788.9400000013,
FS(117),11893169.6000000015,
FS(118),12006421.7100000009,
FS(119),12026705.6700000018,
FS(120),12004731.3800000008,
FS(121),11921905.2100000009,
FS(122),11889788.9400000013,
FS(123),12089247.8800000008,
FS(124),11932047.1900000013,
FS(125),12072344.5800000001,
FS(126),11940498.8399999999,
FS(127),11943879.5000000000,
FS(128),11734278.5800000001,
FS(129),11495942.0500000007,
FS(130),11930356.8600000013,
FS(131),11913453.5600000005,
FS(132),11945569.8300000001,
FS(133),11916834.2200000007,
FS(134),11763014.1900000013,
FS(135),11855982.3399999999,
FS(136),11835698.3800000008,
FS(137),11730897.9200000018,
FS(138),11436780.5000000000,
FS(139),11470587.1000000015,
FS(140),11436780.5000000000,
FS(141),11467206.4400000013,
FS(142),11157876.0500000007,
FS(143),11359025.3200000003,
FS(144),11303244.4300000016,
FS(145),11217037.6000000015,
FS(146),11455374.1300000008,
FS(147),11468896.7699999996,
FS(148),11274508.8200000003,
FS(149),11282960.4700000007,
FS(150),11558484.2599999998,
FS(151),11538200.3000000007,
FS(152),11725826.9300000016,
FS(153),11754562.5400000010,
FS(154),11713994.6200000010,
FS(155),11899930.9200000018,
FS(156),11881337.2900000010,
FS(157),11840769.3700000010,
FS(158),11812033.7599999998,
FS(159),11818795.0800000001,
FS(160),11602432.8399999999,
FS(161),11600742.5099999998,
FS(162),11448612.8100000005,
FS(163),11396212.5800000001,
FS(164),11380999.6100000013,
FS(165),11233940.9000000004,
FS(166),11134211.4300000016,
FS(167),11276199.1500000004,
FS(168),11179850.3399999999,
FS(169),11174779.3500000015,
FS(170),11377618.9500000011,
FS(171),11666665.3800000008,
FS(172),11700471.9800000004,
FS(173),11822175.7400000002,
FS(174),11974305.4400000013,
FS(175),11984447.4200000018,
FS(176),12057131.6100000013,
FS(177),11822175.7400000002,
FS(178),11817104.7500000000,
FS(179),11979376.4300000016,
FS(180),11850911.3500000015,
FS(181),12068963.9200000018,
FS(182),11815414.4200000018,
FS(183),11979376.4300000016,
FS(184),11899930.9200000018,
FS(185),11793440.1300000008,
FS(186),11727517.2599999998,
FS(187),11786678.8100000005,
FS(188),11874575.9700000007,
FS(189),11908382.5700000003,
FS(190),11948950.4900000002,
FS(191),11908382.5700000003,
FS(192),12126435.1400000006,
FS(193),12325894.0800000001,
FS(194),12312371.4400000013,
FS(195),12097699.5299999993,
FS(196),12180525.7000000011,
FS(197),12151790.0899999999,
FS(198),12134886.7900000010,
FS(199),12376603.9800000004,
FS(200),12381674.9700000007,
FS(201),12334345.7300000004,
FS(202),12352939.3600000013,
FS(203),12396887.9400000013,
FS(204),12292087.4800000004,
FS(205),12371532.9900000002,
FS(206),12366462.0000000000,
FS(207),12506759.3900000006,
FS(208),12295468.1400000006,
FS(209),12349558.7000000011,
FS(210),12599727.5400000010,
FS(211),12680863.3800000008,
FS(212),12692695.6900000013,
FS(213),12812709.1200000010,
FS(214),12860038.3600000013,
FS(215),12570991.9300000016,
FS(216),12679173.0500000007,
FS(217),12604798.5299999993,
FS(218),12498307.7400000002,
FS(219),12628463.1500000004,
FS(220),12643676.1200000010,
FS(221),12562540.2799999993,
FS(222),12696076.3500000015,
FS(223),12763689.5500000007,
FS(224),12699457.0099999998,
FS(225),12616630.8399999999,
FS(226),12694386.0199999996,
FS(227),12636914.8000000007,
FS(228),12614940.5099999998,
FS(229),12584514.5700000003,
FS(230),12594656.5500000007,
FS(231),12663960.0800000001,
FS(232),12669031.0700000003,
FS(233),12816089.7799999993,
FS(234),12745095.9200000018,
FS(235),12822851.1000000015,
FS(236),12863419.0199999996,
FS(237),12777212.1900000013,
FS(238),12775521.8600000013,
FS(239),12804257.4700000007,
FS(240),13022310.0400000010,
FS(241),13096684.5600000005,
FS(242),13069639.2799999993,
FS(243),13013858.3900000006,
FS(244),13084852.2500000000,
FS(245),13258956.2400000002,
FS(246),13277549.8700000010,
FS(247),13302904.8200000003,
FS(248),13313046.8000000007,
FS(249),13096684.5600000005,
FS(250),13096684.5600000005,
FS(251),13145704.1300000008,
